motif,sgf,mode,move,clr,coord,dscore,dwr_pct,prank,pprob,own_here,entered,moyo,dmoyo,near_f,adj_f,adj_e,self_lib,enemy_lib,triggers
invasion,invasion1.sgf,game_tail,22,W,L3,-0.10,-0.85,3,0.000,-0.596,N,14,4,0,0,0,4,0,-
invasion,invasion10.sgf,game_tail,72,W,R8,-0.16,-1.20,2,0.000,-0.329,N,44,9,0,0,0,4,0,moyo_formed
invasion,invasion11.sgf,position_all,1,W,R7,0.05,0.49,1,0.354,-0.440,N,13,13,4,2,0,6,0,connection_attempt
invasion,invasion12.sgf,game_tail,51,B,D11,-0.63,-5.48,2,0.000,0.536,N,30,-18,0,0,0,4,0,-
invasion,invasion13.sgf,game_tail,44,W,P3,-0.17,-3.21,2,0.000,-0.311,N,35,8,0,0,1,3,3,moyo_formed
invasion,invasion14.sgf,game_tail,66,W,R5,-0.16,-2.83,2,0.286,0.011,N,60,17,0,0,0,4,0,"tenuki_after_forcing,moyo_formed"
invasion,invasion15.sgf,game_tail,29,B,H16,-0.27,-2.26,3,0.000,0.607,N,30,10,0,0,0,4,0,moyo_formed
invasion,invasion16.sgf,position_all,1,B,J16,-0.01,0.13,0,0.668,0.476,N,16,16,0,0,0,4,0,-
invasion,invasion17.sgf,game_tail,22,W,R17,-0.62,-6.88,2,0.000,-0.617,N,11,-22,0,0,0,4,0,-
invasion,invasion18.sgf,game_tail,41,B,C8,-0.31,-1.59,3,0.000,0.584,N,45,15,0,0,0,4,0,moyo_formed
invasion,invasion19.sgf,game_tail,107,B,R3,-0.80,-0.20,2,0.094,-0.006,N,61,26,0,0,0,4,0,moyo_formed
invasion,invasion2.sgf,game_tail,39,B,C17,-0.55,-5.76,4,0.000,-0.273,Y,15,-34,0,0,0,4,0,invasion_or_reduction
invasion,invasion20.sgf,game_tail,44,W,R17,-0.79,-6.16,3,0.000,0.025,N,30,2,0,0,1,3,3,-
invasion,invasion21.sgf,game_tail,19,B,C3,0.09,0.86,0,0.258,0.671,N,28,23,0,0,0,4,0,moyo_formed
invasion,invasion22.sgf,position_all,1,W,B8,-1.07,-1.97,3,0.000,-0.124,N,36,36,0,0,0,4,0,moyo_formed
invasion,invasion23.sgf,position_all,1,B,C17,0.08,0.05,0,0.433,0.550,N,62,62,3,2,0,7,0,"connection_attempt,moyo_formed"
invasion,invasion24.sgf,position_all,1,W,K17,-0.60,0.01,3,0.000,0.513,N,40,40,1,0,1,3,2,moyo_formed
invasion,invasion25.sgf,position_all,1,W,Q11,-3.36,-38.95,2,0.000,0.119,N,62,62,0,0,0,0,0,"score_swing,moyo_formed"
invasion,invasion26.sgf,position_all,1,B,D10,-2.21,-9.19,2,0.000,0.707,N,24,24,0,0,0,4,0,moyo_formed
invasion,invasion27.sgf,position_all,1,B,J17,-3.21,-0.17,1,0.000,0.644,N,49,49,7,1,0,5,0,"score_swing,moyo_formed"
invasion,invasion28.sgf,position_all,1,W,C13,-0.03,-0.97,0,0.889,-0.619,N,67,67,0,0,0,4,0,moyo_formed
invasion,invasion29.sgf,game_tail,26,W,C12,-0.25,-1.57,2,0.000,-0.565,N,22,3,0,0,0,4,0,-
invasion,invasion3.sgf,game_tail,15,B,R7,-0.07,-0.57,1,0.248,0.214,N,12,7,0,0,0,4,0,-
invasion,invasion30.sgf,game_tail,15,B,R8,0.02,0.29,1,0.249,0.482,N,36,30,0,0,0,4,0,moyo_formed
invasion,invasion31.sgf,position_all,1,W,G17,-0.92,-10.57,2,0.000,0.207,N,50,50,0,0,0,4,0,moyo_formed
invasion,invasion4.sgf,game_tail,14,W,C12,-0.07,0.02,1,0.279,-0.480,N,20,14,0,0,0,4,0,-
invasion,invasion5.sgf,game_tail,52,W,L17,0.03,1.11,3,0.000,-0.275,N,30,-4,0,0,0,4,0,-
invasion,invasion6.sgf,game_tail,95,B,C3,-0.16,0.03,2,0.133,0.722,N,51,13,0,0,0,4,0,"tenuki_after_forcing,moyo_formed"
invasion,invasion7.sgf,game_tail,38,W,C3,-0.70,-1.01,4,0.000,-0.036,Y,46,16,0,0,0,4,0,"invasion_or_reduction,moyo_formed"
invasion,invasion8.sgf,game_tail,50,W,C8,-0.50,-3.22,1,0.000,0.004,N,30,-13,0,0,0,4,0,-
invasion,invasion9.sgf,game_tail,23,B,C12,-0.01,-0.04,1,0.249,0.446,N,14,-19,0,0,0,4,0,-
moyo,moyo1.sgf,game_tail,39,B,P9,0.68,0.81,0,0.306,0.980,Y,28,0,4,1,0,8,0,-
moyo,moyo10.sgf,game_tail,99,B,N10,-0.54,-2.19,4,0.000,0.772,N,53,9,0,0,0,4,0,moyo_formed
moyo,moyo11.sgf,position_all,1,B,J6,-0.50,-0.56,0,0.385,0.795,N,21,21,2,1,0,6,0,-
moyo,moyo12.sgf,game_tail,29,B,F5,0.21,1.49,2,0.000,0.736,N,21,1,1,0,0,4,0,-
