# Layer 1 Moyo/Invasion calibration table
# generated_utc=2026-03-13T04:33:29.858151+00:00
# motifs=moyo,invasion tail_moves=15 visits=5
# files_processed=45 files_skipped_no_moves=0 rows=506

motif    | sgf            | mode         | move | clr | coord | dscore | dwr_pct | prank | pprob | own_here | entered | moyo | dmoyo | near_f | adj_f | adj_e | self_lib | enemy_lib | triggers                                                              
---------+----------------+--------------+------+-----+-------+--------+---------+-------+-------+----------+---------+------+-------+--------+-------+-------+----------+-----------+-----------------------------------------------------------------------
invasion | invasion1.sgf  | game_tail    | 8    | W   | C5    | 0.00   | 0.27    | 0     | 0.864 | -0.819   | N       | 11   | 7     | 1      | 1     | 1     | 5        | 3         | -                                                                     
invasion | invasion1.sgf  | game_tail    | 9    | B   | D6    | -0.08  | -0.25   | 0     | 0.950 | 0.675    | N       | 4    | -7    | 1      | 1     | 0     | 5        | 0         | -                                                                     
invasion | invasion1.sgf  | game_tail    | 10   | W   | C7    | -0.02  | 0.67    | 0     | 0.627 | -0.817   | N       | 11   | 7     | 1      | 0     | 0     | 4        | 0         | -                                                                     
invasion | invasion1.sgf  | game_tail    | 11   | B   | O4    | -0.13  | -0.35   | 4     | 0.000 | 0.808    | N       | 5    | -6    | 1      | 0     | 0     | 4        | 0         | -                                                                     
invasion | invasion1.sgf  | game_tail    | 12   | W   | R9    | -0.25  | -1.71   | 4     | 0.000 | -0.572   | N       | 11   | 6     | 0      | 0     | 0     | 4        | 0         | -                                                                     
invasion | invasion1.sgf  | game_tail    | 13   | B   | F17   | -0.01  | -0.18   | 0     | 0.329 | 0.564    | N       | 5    | -6    | 0      | 0     | 0     | 4        | 0         | -                                                                     
invasion | invasion1.sgf  | game_tail    | 14   | W   | H17   | -0.04  | -1.30   | 3     | 0.000 | -0.595   | N       | 12   | 7     | 0      | 0     | 0     | 4        | 0         | -                                                                     
invasion | invasion1.sgf  | game_tail    | 15   | B   | C14   | -0.05  | -0.70   | 3     | 0.000 | 0.464    | Y       | 5    | -7    | 0      | 0     | 0     | 4        | 0         | invasion_or_reduction                                                 
invasion | invasion1.sgf  | game_tail    | 16   | W   | F16   | -0.06  | -0.61   | 1     | 0.563 | -0.749   | N       | 11   | 6     | 2      | 0     | 1     | 3        | 3         | -                                                                     
invasion | invasion1.sgf  | game_tail    | 17   | B   | D7    | -0.35  | -2.50   | 3     | 0.000 | 0.870    | N       | 7    | -4    | 2      | 1     | 1     | 6        | 3         | -                                                                     
invasion | invasion1.sgf  | game_tail    | 18   | W   | C8    | 0.03   | 0.73    | 0     | 0.935 | -0.747   | N       | 15   | 8     | 1      | 1     | 0     | 5        | 0         | -                                                                     
invasion | invasion1.sgf  | game_tail    | 19   | B   | D8    | -0.02  | 0.22    | 0     | 0.583 | 0.902    | N       | 7    | -8    | 2      | 1     | 1     | 7        | 4         | -                                                                     
invasion | invasion1.sgf  | game_tail    | 20   | W   | D3    | -0.31  | -2.83   | 4     | 0.000 | -0.813   | N       | 21   | 14    | 2      | 0     | 1     | 3        | 3         | -                                                                     
invasion | invasion1.sgf  | game_tail    | 21   | B   | E2    | -0.11  | -1.34   | 2     | 0.000 | 0.848    | N       | 10   | -11   | 1      | 1     | 0     | 5        | 0         | -                                                                     
invasion | invasion1.sgf  | game_tail    | 22   | W   | L3    | -0.10  | -0.85   | 3     | 0.000 | -0.596   | N       | 14   | 4     | 0      | 0     | 0     | 4        | 0         | -                                                                     
invasion | invasion10.sgf | game_tail    | 58   | W   | E14   | 0.28   | 1.86    | 0     | 0.997 | -0.892   | N       | 25   | 4     | 4      | 1     | 0     | 3        | 0         | moyo_formed                                                           
invasion | invasion10.sgf | game_tail    | 59   | B   | C15   | 0.09   | 0.28    | 0     | 0.729 | -0.056   | Y       | 24   | -1    | 3      | 2     | 0     | 4        | 0         | connection_attempt                                                    
invasion | invasion10.sgf | game_tail    | 60   | W   | E15   | -0.53  | -1.95   | 0     | 0.922 | -0.931   | Y       | 24   | 0     | 4      | 1     | 1     | 4        | 3         | -                                                                     
invasion | invasion10.sgf | game_tail    | 61   | B   | B11   | 0.58   | 2.97    | 0     | 0.955 | 0.832    | N       | 26   | 2     | 3      | 1     | 0     | 4        | 0         | -                                                                     
invasion | invasion10.sgf | game_tail    | 62   | W   | D12   | -0.35  | -2.41   | 0     | 0.485 | -0.764   | N       | 25   | -1    | 5      | 1     | 1     | 4        | 1         | atari_created                                                         
invasion | invasion10.sgf | game_tail    | 63   | B   | D11   | 0.54   | 3.00    | 0     | 0.737 | 0.907    | N       | 26   | 1     | 5      | 2     | 1     | 7        | 3         | connection_attempt                                                    
invasion | invasion10.sgf | game_tail    | 64   | W   | B13   | -1.84  | -18.60  | 2     | 0.000 | -0.925   | N       | 32   | 6     | 4      | 1     | 0     | 4        | 0         | -                                                                     
invasion | invasion10.sgf | game_tail    | 65   | B   | B7    | 0.08   | 1.04    | 0     | 0.942 | 0.844    | Y       | 35   | 3     | 4      | 0     | 1     | 3        | 2         | -                                                                     
invasion | invasion10.sgf | game_tail    | 66   | W   | D17   | 0.09   | 0.54    | 2     | 0.000 | -0.965   | N       | 44   | 9     | 2      | 1     | 0     | 5        | 0         | tenuki_after_forcing,moyo_formed                                      
invasion | invasion10.sgf | game_tail    | 67   | B   | N17   | -0.15  | -1.56   | 0     | 0.588 | 0.872    | N       | 35   | -9    | 2      | 1     | 0     | 4        | 0         | -                                                                     
invasion | invasion10.sgf | game_tail    | 68   | W   | N18   | -0.09  | -1.11   | 0     | 0.952 | -0.846   | N       | 43   | 8     | 2      | 1     | 1     | 4        | 3         | moyo_formed                                                           
invasion | invasion10.sgf | game_tail    | 69   | B   | M17   | -0.01  | -0.36   | 0     | 0.694 | 0.858    | N       | 35   | -8    | 2      | 1     | 0     | 5        | 0         | -                                                                     
invasion | invasion10.sgf | game_tail    | 70   | W   | O15   | -1.11  | -12.34  | 2     | 0.000 | -0.232   | N       | 43   | 8     | 2      | 0     | 0     | 4        | 0         | moyo_formed                                                           
invasion | invasion10.sgf | game_tail    | 71   | B   | Q13   | -0.89  | -9.30   | 2     | 0.000 | 0.888    | N       | 35   | -8    | 0      | 0     | 0     | 4        | 0         | -                                                                     
invasion | invasion10.sgf | game_tail    | 72   | W   | R8    | -0.16  | -1.20   | 2     | 0.000 | -0.329   | N       | 44   | 9     | 0      | 0     | 0     | 4        | 0         | moyo_formed                                                           
invasion | invasion11.sgf | position_all | 1    | W   | R7    | 0.05   | 0.49    | 1     | 0.354 | -0.440   | N       | 13   | 13    | 4      | 2     | 0     | 6        | 0         | connection_attempt                                                    
invasion | invasion12.sgf | game_tail    | 37   | B   | D3    | -0.04  | -0.30   | 1     | 0.332 | 0.874    | N       | 31   | 9     | 3      | 0     | 1     | 3        | 2         | moyo_formed                                                           
invasion | invasion12.sgf | game_tail    | 38   | W   | E7    | -0.03  | 0.05    | 0     | 0.677 | -0.897   | N       | 37   | 6     | 4      | 1     | 1     | 6        | 0         | capture                                                               
invasion | invasion12.sgf | game_tail    | 39   | B   | C17   | 0.12   | 1.04    | 0     | 0.576 | -0.537   | N       | 30   | -7    | 0      | 0     | 0     | 4        | 0         | tenuki_after_forcing                                                  
invasion | invasion12.sgf | game_tail    | 40   | W   | C16   | 0.06   | 0.48    | 0     | 0.539 | -0.972   | N       | 47   | 17    | 1      | 1     | 1     | 5        | 3         | moyo_formed                                                           
invasion | invasion12.sgf | game_tail    | 41   | B   | D17   | 0.00   | -0.29   | 0     | 0.974 | -0.716   | N       | 29   | -18   | 1      | 1     | 1     | 4        | 4         | -                                                                     
invasion | invasion12.sgf | game_tail    | 42   | W   | E17   | 0.04   | 0.62    | 0     | 0.923 | -0.943   | N       | 47   | 18    | 2      | 0     | 1     | 3        | 3         | moyo_formed                                                           
invasion | invasion12.sgf | game_tail    | 43   | B   | E18   | -0.02  | -0.24   | 0     | 0.978 | 0.646    | N       | 31   | -16   | 2      | 0     | 1     | 3        | 2         | -                                                                     
